age1,age2,Male,Female
0,1,9736,9207
1,4,41097,39308
5,9,43598,42164
10,14,42673,42564
15,19,36946,43451
20,24,38117,43435
25,29,41462,42885
30,34,35559,39343
35,39,38445,41866
40,44,38478,41064
45,49,36395,38826
50,54,30388,36373
55,59,24809,30746
60,64,20777,26354
65,69,16514,21277
70,74,12757,15830
75,79,7428,9848
80,84,2818,4338
85,99,820,1952
