New Kilpatrick ,28658
Cathcart ,58648
Eastwood ,40539
Paisley ,65608
Renfrew ,34406
Glasgow ,540571
Govan ,312911
Cadder ,7104
Rutherglen ,402
Carmunnock ,271
Old Monkland ,395
Neilston ,42
